top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 246 total,   1 em exec., 245 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,2 us,  2,2 sy,  0,0 ni, 93,3 id,  0,0 wa,  0,0 hi,  2,2 si,  0,0 st 
GB mem :      5,8 total,      0,5 free,      1,6 used,      4,0 buff/cache     
GB swap:      4,0 total,      4,0 free,      0,0 used.      4,2 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
      8 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     10 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     12 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     13 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     14 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:02.13 ksoftir+
     15 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   1:03.30 rcu_pre+
     16 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 rcu_exp+
     17 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.12 rcu_exp+
     18 root      rt   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.57 migrati+
     19 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 kprobe-+
     20 root     -51   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 idle_in+
     21 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 cpuhp/0
     22 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 cpuhp/1
     23 root     -51   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 idle_in+
     24 root      rt   0    0,0m   0,0m   0,0m S   0,0   0,0   0:01.00 migrati+
     25 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.41 ksoftir+
     27 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     28 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 cpuhp/2
     29 root     -51   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 idle_in+
     30 root      rt   0    0,0m   0,0m   0,0m S   0,0   0,0   0:01.25 migrati+
     31 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.44 ksoftir+
     33 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     34 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 cpuhp/3
     35 root     -51   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 idle_in+
     36 root      rt   0    0,0m   0,0m   0,0m S   0,0   0,0   0:01.73 migrati+
