top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 249 total,   2 em exec., 247 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,4 us,  0,0 sy,  0,0 ni, 97,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :   5920,9 total,    493,6 free,   1660,4 used,   4088,6 buff/cache     
MB swap:   4096,0 total,   4095,4 free,      0,6 used.   4260,6 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
     59 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     60 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/9-a+
     62 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     63 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     64 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     65 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     66 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     67 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     68 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     69 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
     70 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     71 root      20   0       0      0      0 S   0,0   0,0   0:00.44 kswapd0
     73 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptf+
     74 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     75 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     77 root      20   0       0      0      0 S   0,0   0,0   0:00.02 scsi_eh+
     78 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     79 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
     80 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     84 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     85 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     86 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     87 root      20   0       0      0      0 I   0,0   0,0   0:00.07 kworker+
     89 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     90 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     91 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     92 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     93 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     97 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     98 root       0 -20       0      0      0 I   0,0   0,0   0:00.54 kworker+
    109 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    161 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    162 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    220 root      20   0       0      0      0 S   0,0   0,0   0:02.61 jbd2/sd+
    221 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    261 root       0 -20       0      0      0 I   0,0   0,0   0:00.46 kworker+
    492 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
    577 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/18-+
    578 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   3150 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4470 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4775 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4799 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   8298 root      20   0       0      0      0 I   0,0   0,0   0:00.54 kworker+
  48829 root       0 -20       0      0      0 I   0,0   0,0   0:00.67 kworker+
  53577 root      20   0       0      0      0 I   0,0   0,0   0:00.39 kworker+
  54951 root      20   0       0      0      0 I   0,0   0,0   0:00.36 kworker+
  58403 root      20   0       0      0      0 I   0,0   0,0   0:00.27 kworker+
  58591 root      20   0       0      0      0 I   0,0   0,0   0:00.11 kworker+
  58811 root      20   0       0      0      0 I   0,0   0,0   0:00.20 kworker+
  60267 root      20   0       0      0      0 I   0,0   0,0   0:00.26 kworker+
  66023 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker+
  66531 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  66560 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
  67095 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  69449 root      20   0       0      0      0 I   0,0   0,0   0:00.16 kworker+
  73325 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  75432 root      20   0       0      0      0 I   0,0   0,0   0:00.24 kworker+
  77333 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  79328 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker+
  82595 root      20   0       0      0      0 I   0,0   0,0   0:00.07 kworker+
  83355 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  83532 root      20   0       0      0      0 I   0,0   0,0   0:00.68 kworker+
  86104 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
  87418 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  87511 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker+
